date,value
2025-08-13,127.6416
2025-08-14,127.7650
2025-08-15,127.8884
2025-08-16,128.0118
2025-08-17,128.1352
2025-08-18,128.2586
2025-08-19,128.3820
2025-08-20,128.5054
2025-08-21,128.6288
2025-08-22,128.7522
2025-08-23,128.8756
2025-08-24,128.9990
2025-08-25,129.1224
2025-08-26,129.2458
2025-08-27,129.3692
2025-08-28,129.4926
2025-08-29,129.6160
2025-08-30,129.7394
2025-08-31,129.8628
2025-09-01,129.9862
2025-09-02,130.1096
2025-09-03,130.2330
2025-09-04,130.3564
2025-09-05,130.4798
2025-09-06,130.6032
2025-09-07,130.7266
2025-09-08,130.8500
2025-09-09,130.9734
2025-09-10,131.0968
2025-09-11,131.2202
2025-09-12,131.3436
2025-09-13,131.4670
2025-09-14,131.5904
2025-09-15,131.7138
2025-09-16,131.8372
2025-09-17,131.9606
2025-09-18,132.0840
2025-09-19,132.2074
2025-09-20,132.3308
2025-09-21,132.4542
2025-09-22,132.5776
2025-09-23,132.7010
2025-09-24,132.8244
2025-09-25,132.9478
2025-09-26,133.0712
2025-09-27,133.1946
2025-09-28,133.3180
2025-09-29,133.4414
2025-09-30,133.5648
2025-10-01,133.6882
2025-10-02,133.8116
2025-10-03,133.9350
2025-10-04,134.0584
2025-10-05,134.1818
2025-10-06,134.3052
2025-10-07,134.4286
2025-10-08,134.5520
2025-10-09,134.6754
2025-10-10,134.7988
2025-10-11,134.9222
2025-10-12,135.0456
2025-10-13,135.1690
2025-10-14,135.2924
2025-10-15,135.4158
2025-10-16,135.5392
2025-10-17,135.6626
2025-10-18,135.7860
2025-10-19,135.9094
2025-10-20,136.0328
2025-10-21,136.1562
2025-10-22,136.2796
2025-10-23,136.4030
2025-10-24,136.5264
2025-10-25,136.6498
2025-10-26,136.7732
2025-10-27,136.8966
2025-10-28,137.0200
2025-10-29,137.1434
2025-10-30,137.2668
2025-10-31,137.3902
2025-11-01,137.5136
2025-11-02,137.6370
2025-11-03,137.7604
2025-11-04,137.8838
2025-11-05,138.0072
2025-11-06,138.1306
2025-11-07,138.2540
2025-11-08,138.3774
2025-11-09,138.5008
2025-11-10,138.6242
2025-11-11,138.7476
2025-11-12,138.8710
2025-11-13,138.9944
2025-11-14,139.1178
2025-11-15,139.2412
2025-11-16,139.3646
2025-11-17,139.4880
2025-11-18,139.6114
2025-11-19,139.7348
2025-11-20,139.8582
2025-11-21,139.9816
2025-11-22,140.1050
2025-11-23,140.2284
2025-11-24,140.3518
2025-11-25,140.4752
2025-11-26,140.5986
2025-11-27,140.7220
2025-11-28,140.8454
2025-11-29,140.9688
2025-11-30,141.0922
2025-12-01,141.2156
2025-12-02,141.3390
2025-12-03,141.4624
2025-12-04,141.5858
2025-12-05,141.7092
2025-12-06,141.8326
2025-12-07,141.9560
2025-12-08,142.0794
2025-12-09,142.2028
2025-12-10,142.3262
2025-12-11,142.4496
2025-12-12,142.5730
2025-12-13,142.6964
2025-12-14,142.8198
2025-12-15,142.9432
2025-12-16,143.0666
2025-12-17,143.1900
2025-12-18,143.3134
2025-12-19,143.4368
2025-12-20,143.5602
2025-12-21,143.6836
2025-12-22,143.8070
2025-12-23,143.9304
2025-12-24,144.0538
2025-12-25,144.1772
2025-12-26,144.3006
2025-12-27,144.4240
2025-12-28,144.5474
2025-12-29,144.6708
2025-12-30,144.7942
2025-12-31,144.9176
